scenario,transect_id,alongshore_offset_m,shoreline_rate_m_per_yr,shoreline_rate_r2,volume_rate_m3_per_m_per_yr,volume_rate_r2,classification,is_synthetic
baseline,T01,0.0,-7.885,0.159,-68.879,0.152,erosion,True
baseline,T02,500.0,0.474,0.027,3.484,0.024,accretion,True
baseline,T03,1000.0,0.605,0.029,6.589,0.051,accretion,True
baseline,T04,1500.0,-6.283,0.764,-62.135,0.778,erosion,True
baseline,T05,2000.0,-4.97,0.638,-49.604,0.599,erosion,True
mangrove_nbs_berm,T01,0.0,-6.008,0.099,-52.588,0.094,erosion,True
mangrove_nbs_berm,T02,500.0,2.35,0.443,18.743,0.416,accretion,True
mangrove_nbs_berm,T03,1000.0,2.534,0.358,22.802,0.395,accretion,True
mangrove_nbs_berm,T04,1500.0,-4.571,0.617,-43.563,0.637,erosion,True
mangrove_nbs_berm,T05,2000.0,-3.018,0.36,-30.023,0.357,erosion,True
mangrove_nbs_intertidal,T01,0.0,-4.45,0.057,-39.396,0.056,erosion,True
mangrove_nbs_intertidal,T02,500.0,3.847,0.677,31.339,0.668,accretion,True
mangrove_nbs_intertidal,T03,1000.0,4.034,0.625,36.188,0.623,accretion,True
mangrove_nbs_intertidal,T04,1500.0,-3.06,0.459,-28.651,0.436,erosion,True
mangrove_nbs_intertidal,T05,2000.0,-1.266,0.093,-14.299,0.114,erosion,True
slr_2050_rcp45,T01,0.0,-8.388,0.175,-73.353,0.169,erosion,True
slr_2050_rcp45,T02,500.0,0.211,0.005,-0.693,0.001,accretion,True
slr_2050_rcp45,T03,1000.0,0.082,0.001,2.173,0.006,accretion,True
slr_2050_rcp45,T04,1500.0,-6.894,0.796,-67.248,0.803,erosion,True
slr_2050_rcp45,T05,2000.0,-5.349,0.662,-54.98,0.646,erosion,True
slr_2100_rcp85_subsidence,T01,0.0,-8.633,0.184,-75.452,0.178,erosion,True
slr_2100_rcp85_subsidence,T02,500.0,-0.006,0.0,-2.645,0.013,erosion,True
slr_2100_rcp85_subsidence,T03,1000.0,-0.165,0.003,0.099,0.0,erosion,True
slr_2100_rcp85_subsidence,T04,1500.0,-7.171,0.812,-69.637,0.814,erosion,True
slr_2100_rcp85_subsidence,T05,2000.0,-5.513,0.664,-57.522,0.667,erosion,True
